,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
650,19145,01,08,13,17,18,19,16
651,19144,02,12,15,19,27,30,03
652,19143,05,13,15,16,26,32,09
653,19142,08,14,24,27,29,33,09
654,19141,10,13,14,15,17,33,14
655,19140,02,04,09,11,14,22,05
656,19139,08,14,20,23,30,33,11
657,19138,02,06,12,30,31,32,11
658,19137,07,10,13,19,23,31,06
659,19136,12,14,15,17,29,33,12
660,19135,03,06,10,11,27,33,03
661,19134,01,04,06,22,29,30,03
662,19133,03,07,16,21,24,31,07
663,19132,04,06,11,14,19,33,07
664,19131,09,17,19,20,24,31,04
665,19130,01,07,09,11,24,32,16
666,19129,03,04,07,09,15,26,07
667,19128,03,08,12,16,17,19,08
668,19127,02,06,07,12,17,24,10
669,19126,02,14,17,29,32,33,16
670,19125,02,11,12,26,27,29,03
671,19124,04,09,30,31,32,33,01
672,19123,02,06,08,17,28,30,06
673,19122,04,10,15,19,21,23,02
674,19121,02,06,15,21,30,31,02
675,19120,10,12,27,31,32,33,03
676,19119,04,20,22,24,26,33,07
677,19118,12,14,15,25,28,31,04
678,19117,03,05,11,28,32,33,01
679,19116,01,08,09,13,16,33,01
680,19115,04,10,11,14,15,29,05
681,19114,02,04,09,11,12,30,01
682,19113,01,05,19,21,25,33,15
683,19112,03,12,14,17,23,27,01
684,19111,07,18,20,22,24,33,01
685,19110,01,18,22,26,27,28,08
686,19109,03,06,07,17,28,31,10
687,19108,07,13,19,22,25,32,13
688,19107,02,06,08,23,27,32,02
689,19106,02,14,22,27,30,33,14
690,19105,02,13,15,17,26,33,01
691,19104,01,05,16,17,18,24,10
692,19103,04,12,14,21,27,29,12
693,19102,03,08,12,16,20,32,12
694,19101,01,04,09,21,31,33,05
695,19100,01,04,12,13,30,32,08
696,19099,07,14,22,23,27,30,08
697,19098,03,11,12,14,17,26,09
698,19097,03,05,18,24,25,31,09
699,19096,05,07,12,18,27,32,11
700,19095,02,05,14,19,21,28,01
701,19094,05,10,12,18,19,27,06
702,19093,05,07,08,09,20,22,02
703,19092,09,17,27,28,32,33,08
704,19091,07,10,21,24,29,32,11
705,19090,02,03,06,08,14,22,04
706,19089,02,04,14,16,20,22,11
707,19088,13,14,15,21,23,29,13
708,19087,04,05,07,09,21,30,04
709,19086,16,22,24,26,28,31,06
710,19085,01,04,14,18,24,29,04
711,19084,04,08,14,18,20,27,03
712,19083,06,15,17,26,28,31,03
713,19082,07,16,19,22,24,28,02
714,19081,05,24,27,29,31,32,10
715,19080,03,06,08,20,24,32,07
716,19079,01,03,06,09,19,31,16
717,19078,01,17,27,29,31,33,12
718,19077,09,11,13,18,21,22,15
719,19076,12,15,19,20,29,32,14
720,19075,05,08,20,22,31,33,03
721,19074,12,21,27,29,31,33,04
722,19073,01,02,06,12,16,18,08
723,19072,02,09,13,15,22,30,15
