,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
649,19133,03,12,24,27,34,01,12
650,19132,03,05,06,13,18,10,12
651,19131,05,06,14,27,29,06,10
652,19130,01,13,20,21,26,04,10
653,19129,10,13,18,23,30,06,12
654,19128,20,21,25,34,35,03,12
655,19127,04,07,08,11,16,09,11
656,19126,05,09,16,18,30,04,07
657,19125,05,08,09,14,34,02,05
658,19124,07,17,26,27,30,06,12
659,19123,03,13,15,26,30,05,12
660,19122,05,19,25,31,33,10,11
661,19121,01,02,03,07,17,04,10
662,19120,06,15,17,22,25,01,09
663,19119,03,06,09,23,34,02,11
664,19118,02,03,13,19,26,02,03
665,19117,01,18,21,25,35,07,08
666,19116,02,10,16,21,23,02,12
667,19115,01,18,21,28,32,05,12
668,19114,03,05,07,20,23,04,11
669,19113,03,11,27,34,35,01,02
670,19112,03,10,16,21,33,05,06
671,19111,06,15,20,23,27,08,10
672,19110,01,19,23,24,30,04,05
673,19109,02,07,08,20,25,11,12
674,19108,24,27,28,31,34,04,08
675,19107,05,09,19,27,35,02,03
676,19106,05,08,10,32,35,02,10
677,19105,01,04,09,14,17,01,06
678,19104,02,07,19,22,28,03,05
679,19103,05,12,22,27,32,04,07
680,19102,05,10,15,19,31,03,06
681,19101,05,11,18,19,27,05,06
682,19100,05,08,12,19,21,06,11
683,19099,04,06,18,27,33,07,09
684,19098,13,15,17,19,22,03,04
685,19097,10,17,20,30,35,10,12
686,19096,02,12,22,23,27,02,06
687,19095,03,12,17,19,31,02,06
688,19094,01,12,14,26,27,07,09
689,19093,16,17,26,29,35,01,07
690,19092,02,11,15,27,30,02,05
691,19091,04,13,20,26,28,03,12
692,19090,13,19,28,30,33,02,12
693,19089,09,14,18,33,34,03,12
694,19088,01,05,18,27,33,06,08
695,19087,05,06,18,19,27,07,12
696,19086,05,15,16,28,31,02,07
697,19085,04,05,06,15,26,08,11
698,19084,12,23,25,34,35,01,07
699,19083,17,24,26,28,32,07,09
700,19082,06,18,20,21,31,03,04
701,19081,06,24,26,30,33,02,07
702,19080,05,13,18,19,24,02,07
703,19079,10,13,16,28,35,04,05
704,19078,05,10,21,26,30,01,07
705,19077,01,15,17,21,33,07,10
706,19076,01,06,11,23,29,01,11
707,19075,05,06,07,11,16,02,11
708,19074,08,09,13,14,34,05,07
709,19073,04,11,19,20,24,08,11
710,19072,02,04,06,09,18,07,10
711,19071,07,13,14,15,22,07,11
712,19070,02,13,15,22,34,02,12
713,19069,08,22,23,33,34,04,06
714,19068,04,05,08,17,27,06,11
715,19067,03,08,11,15,16,02,10
716,19066,04,10,11,18,31,05,08
717,19065,03,08,10,23,27,02,12
718,19064,07,08,13,19,29,11,12
719,19063,05,08,15,18,21,04,08
720,19062,05,16,23,25,28,01,12
721,19061,01,02,13,14,26,05,11
722,19060,01,11,12,18,21,08,10
